PARNAZ;PARNIDK;VYSNAZORI;VYSDRUKOD;DRUHODKOD;VYSBOD;VYSKBO;VYSPDL;VYSPDLBOD;VYSPDLKBO;VYSIDKPER;VYSNIDK;VYSWEBURL;DOKNAZPRI;CR_OBRKOD;RVVOBRSKUK;DUVHODPOP;VYSAUTGARJ;AUTSEZDOM;VYSNAVSEZ;VYRROZKODN;VYSROKUPLK
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;A change in the behaviour of households, new form of moral hazard;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31130/11:00037063!RIV12-MSM-31130___;MaDwoTh+E.hLUEE!BL437wUT284=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00037063!RIV12-MSM-31130___;Managing Services in the Knowledge Economy 2011 - Proceedings.;AE;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;SmrËka, Luboö;SmrËka, Luboö;Z(MSM6138439905);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;A Comparison of National ICT Metrics, Indicators and Models in Successful ICT Driven Economies;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/11:00037139!RIV12-MSM-31140___;YqNLLLmEXX-R9e5fRiEs20g4DnU=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00037139!RIV12-MSM-31140___;Strategic Management and its Support by Information Systems;IN;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;PavlÌËek, AntonÌn;"PavlÌËek, AntonÌn; Sigmund, Tom·ö; Oökrdal, V·clav; Hub·Ëek, Josef";S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;A New Biology: A Modern Perspective on the Challenge of Closing the Gap between the Islands of Knowledge;D;D;8,00;8,64;0,33;2,67;2,88;RIV/61384399:31140/11:00037471!RIV12-GA0-31140___;mmD9ewvUtvzD153RmKXUf9VTM18=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00037471!RIV12-GA0-31140___;Towards a Service-Based Internet;AE;1;Ël·nek ve sbornÌku evidovanÈm v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters (dohled·no podle ISSN);ÿepa, V·clav;ÿepa, V·clav;P(GA402/08/0529);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;A Note on Factorization of Belief Functions;D;neu;0,00;0,00;0,33;0,00;0,00;RIV/61384399:31160/11:00037577!RIV12-MSM-31160___;Fby80my09H2G.4FiQpr7ZaX5qm8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F11%3A00037577!RIV12-MSM-31160___;Proceedings of the 14th Czech-Japan Seminar on Data Analysis and Decision-making under Uncertainty;BD;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Jirouöek, Radim;Jirouöek, Radim;P(1M0572), P(2C06019), P(GA201/09/1891), P(GEICC/08/E010), Z(AV0Z10750506);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta managementu v Jind¯ichovÏ Hradci;orjk:31160;A Note on Local Computations in Dempster-Shafer Theory of Evidence;D;neu;0,00;0,00;0,50;0,00;0,00;RIV/61384399:31160/11:00037582!RIV12-MSM-31160___;KKzJfIwGY-F3.SqMC10eXUgwjV8=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31160%2F11%3A00037582!RIV12-MSM-31160___;Proceedings of the 7th International Symposium on Imprecise Probability: Theories and Applications;JD;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Jirouöek, Radim;Jirouöek, Radim;P(1M0572), P(2C06019), P(GA201/09/1891), P(GEICC/08/E010), Z(AV0Z10750506);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta n·rodohospod·¯sk·;orjk:31150;A Note on Nozick's Problem;J;Jneimp;12,00;12,96;1,00;12,00;12,96;RIV/61384399:31150/11:00037121!RIV12-MSM-31150___;RxM8oQM73Whj7pTZWrWgdYDI7Zk=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31150%2F11%3A00037121!RIV12-MSM-31150___;The Quarterly Journal of Austrian Economics;AH;1;J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze SCOPUS, ISSN tiötÏnÈ podoby;HudÌk, Marek;HudÌk, Marek;S;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta informatiky a statistiky;orjk:31140;A Remark on an Effective Method of Computing the Standard Fundamental matrix;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31140/11:00037954!RIV12-MSM-31140___;gEyVvdAzMJL8o0J0ymRwWpsbdmA=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31140%2F11%3A00037954!RIV12-MSM-31140___;Matematika na vysok˝ch ökol·ch;BA;3;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Bur˝öek, SlavomÌr;Bur˝öek, SlavomÌr;I;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta mezin·rodnÌch vztah˘;orjk:31120;A Review of the Main Concepts of Luxury Consumer Behavior and Contemporary Meaning of Luxury;D;neu;0,00;0,00;1,00;0,00;0,00;RIV/61384399:31120/11:00037941!RIV12-MSM-31120___;s4v4Jqmwjykpag+o!h1f0KmhIM4=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31120%2F11%3A00037941!RIV12-MSM-31120___;Trends in International Business;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Shamina, Yana;Shamina, Yana;I;0;2011
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;A Theory Documenting the Feasibility of a Global Capital Market from an Accounting Perspective;J;Jneimp;12,00;12,96;0,40;4,80;5,18;RIV/61384399:31130/11:00037048!RIV12-GA0-31130___;7iBH4gZ1xiNSuF.eAgSBzqmKcCY=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00037048!RIV12-GA0-31130___;WSEAS Transactions on Business and Economics;AH;1;J_neimp Ël·nek v recenzovanÈm Ëasopise, datab·ze SCOPUS, ISSN tiötÏnÈ podoby;Strouhal, Ji¯Ì;Strouhal, Ji¯Ì;P(GAP403/11/0002);0;2011
Vysok· ökola ekonomick· v Praze / Fakulta podnikohospod·¯sk·;orjk:31130;A Theory Documenting the Feasibility of a Global Capital Market from an Accounting Perspective;D;neu;0,00;0,00;0,40;0,00;0,00;RIV/61384399:31130/11:00036876!RIV12-GA0-31130___;YHTfRcK7uSP34EI9PeCrsibB2mE=;http://www.isvav.cz/h12/resultDetail.do?rowId=RIV%2F61384399%3A31130%2F11%3A00036876!RIV12-GA0-31130___;Recent Researches in Applied Economics;AH;1;»l·nek ve sbornÌku m· uvedeno ISBN nebo ISSN, ale to nenÌ v datab·zi Conference Proceedings Citation Index spoleËnosti Thomson Reuters.;Strouhal, Ji¯Ì;Strouhal, Ji¯Ì;P(GAP403/11/0002);0;2011
